file,line,type,commit,author,date,time,timezone,datetime,depth,length
/Users/sohan/Documents/dsc106/lab/style.css,155,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,14
/Users/sohan/Documents/dsc106/lab/style.css,156,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,17
/Users/sohan/Documents/dsc106/lab/style.css,157,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,158,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,159,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,17
/Users/sohan/Documents/dsc106/lab/style.css,160,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,12
/Users/sohan/Documents/dsc106/lab/style.css,161,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,36
/Users/sohan/Documents/dsc106/lab/style.css,162,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,14
/Users/sohan/Documents/dsc106/lab/style.css,163,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,8
/Users/sohan/Documents/dsc106/lab/style.css,164,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,12
/Users/sohan/Documents/dsc106/lab/style.css,165,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,60
/Users/sohan/Documents/dsc106/lab/style.css,166,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,17
/Users/sohan/Documents/dsc106/lab/style.css,167,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,168,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,0
/Users/sohan/Documents/dsc106/lab/style.css,169,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,0,17
/Users/sohan/Documents/dsc106/lab/style.css,170,css,0e5131b5,sohan-shingade,2026-04-24,21:01:10,-07:00,2026-04-24T21:01:10-07:00,1,10
